file_timestamp_utc,file_name,file_uid,extended_items_metadata,timestamp_recorded_utc,extended_items_time,ugms_unit_id,ugms_unit_uid,gps_fix_quality,gps_latitude_deg,gps_longitude_deg,speed_as_recorded,speed_as_recorded_unit,elapsed_distance_as_recorded_m,extended_items_geography,left_top_35m_mm,right_top_35m_mm,crosslevel_mm,twist_3m_mm,left_top_35m_SD_mm,right_top_35m_SD_mm,mean_top_70m_SD_mm,twist_3m_SD_mm,left_dip_joint_mrad,right_dip_joint_mrad,pseudo_align_35m_mm,pseudo_align_70m_mm,pseudo_align_35m_SD_mm,pseudo_align_70m_SD_mm,mean_top_70m_mm,extended_items_geometry,accel_z_wb_ms_2,accel_x_wc_ms_2,accel_x_wd_ms_2,accel_y_wd_ms_2,accel_y_wp_ms_2,data_row_uid,creating_adapter_version
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:00.000000Z,"{""timestamp_ticks"": ""636827124000000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.51652,-0.176525,0.0,mph,0.0,{},0.878486,0.850799,18.9403,-2.29845,0.784347,0.772935,,1.38097,0.0,0.0,0.597068,9.80989,5.85578,,0.648349,"{""curvature_mm"": ""-73.7868""}",0.0224371,-0.0184577,-0.0107923,-0.0175387,-0.0175387,b4bf4fd2-82af-45b5-ac16-3500c694d014,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:00.000000Z,"{""timestamp_ticks"": ""636827124000000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.51652,-0.176525,0.0,mph,0.2,{},0.932933,0.8771,18.859,-2.23066,0.784643,0.773426,,1.38123,0.0,0.0,0.600392,9.94158,5.86598,,0.716308,"{""curvature_mm"": ""-73.7598""}",-0.0384639,-0.0184218,-0.0126365,-0.0145113,-0.0145113,19387b8c-2e8b-4546-832c-b280c15885b2,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:01.000000Z,"{""timestamp_ticks"": ""636827124010000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516522,-0.176529,0.763,mph,0.4,{},0.976204,0.877524,18.7978,-2.10291,0.784976,0.773911,,1.38143,0.0,0.0,0.606753,10.0748,5.87644,,0.768304,"{""curvature_mm"": ""-73.732""}",-0.0532596,-0.00824445,-0.0112898,-0.0106711,-0.0106711,3125dd87-a1fc-4e2a-ad33-b9eda532128a,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:01.586720Z,"{""timestamp_ticks"": ""636827124015867198"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516522,-0.176529,0.763,mph,0.6,{},1.00579,0.875342,18.7312,-1.98656,0.785326,0.774373,,1.38156,0.0,0.0,0.61653,10.21,5.88718,,0.814124,"{""curvature_mm"": ""-73.7033""}",-0.015265,0.01102,-0.00604028,-0.00557593,-0.00557593,e2427018-f0d1-4c29-a9ee-aff3e46518f0,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:02.173440Z,"{""timestamp_ticks"": ""636827124021734397"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516522,-0.176529,0.763,mph,0.8,{},1.00093,0.883933,18.6227,-1.97035,0.785672,0.774823,,1.38169,0.0,0.0,0.6252219999999999,10.3428,5.89817,,0.849629,"{""curvature_mm"": ""-73.6738""}",-0.0111412,0.019012,-0.00182684,0.000828136,0.000828136,37a29e31-f075-465e-8830-870fa30775d0,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:02.000000Z,"{""timestamp_ticks"": ""636827124020000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516526,-0.176536,1.525,mph,1.0,{},0.970194,0.874009,18.5076,-1.95446,0.785978,0.775246,,1.38179,0.0,0.0,0.626409,10.4665,5.9094,,0.863664,"{""curvature_mm"": ""-73.6433""}",-0.0555158,0.0101956,-0.0016605,0.00656939,0.00656939,df250f80-15f1-4286-b022-635920a592d6,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:02.293360Z,"{""timestamp_ticks"": ""636827124022933599"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516526,-0.176536,1.525,mph,1.2,{},0.911419,0.835559,18.3934,-1.87936,0.786205,0.775607,,1.38184,0.0,0.0,0.622139,10.5829,5.92084,,0.848945,"{""curvature_mm"": ""-73.6123""}",-0.0551823,0.0141571,0.00135032,0.00886496,0.00886496,f06930bd-0c48-4a06-9122-ec808b7b8f3f,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:02.586720Z,"{""timestamp_ticks"": ""636827124025867198"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516526,-0.176536,1.525,mph,1.4,{},0.828453,0.775693,18.2767,-1.7754,0.786338,0.775883,,1.38184,0.0,0.0,0.619002,10.6985,5.93249,,0.809704,"{""curvature_mm"": ""-73.5807""}",-0.000649407,0.0145558,0.00367432,0.0105726,0.0105726,7cacac97-7418-4629-83b2-a96239a5eae0,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:02.880080Z,"{""timestamp_ticks"": ""636827124028800798"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516526,-0.176536,1.525,mph,1.6,{},0.757438,0.678564,18.2116,-1.61211,0.786398,0.776052,,1.38179,0.0,0.0,0.616375,10.8126,5.94433,,0.755182,"{""curvature_mm"": ""-73.5488""}",0.0244212,0.000153174,0.00159539,0.0109231,0.0109231,7a347db1-a5f7-4349-b9e7-7ead36aa55bd,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.173440Z,"{""timestamp_ticks"": ""636827124031734397"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516526,-0.176536,1.525,mph,1.8,{},0.706889,0.559947,18.1953,-1.41677,0.786409,0.776103,,1.38167,0.0,0.0,0.614386,10.9254,5.95639,,0.697126,"{""curvature_mm"": ""-73.5165""}",-0.010293,-0.0258385,-0.00548212,0.00497128,0.00497128,1a5ff8ad-42a1-455e-bf63-bf23a3a70af0,Vivacity-UGMS-Sample-v0.0.1
